Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Precipitation,Visibility,Cloud Cover,month,year,season,is_festival,is_extreme_heat,temp_anomaly
33.94,18.22,40.04,39.33,8.1,0,5.7,53.5,5,2014,3,0,1,4.54
33.33,19.11,46.11,38.11,8.1,0,6.2,48.3,5,2014,3,0,1,3.93
36.56,15.83,29.93,39.22,7.4,0,6.2,64.9,5,2014,3,0,1,7.16
28.83,22.06,67.11,35.5,9.2,0,5.3,20,5,2014,3,0,1,-0.57
33.22,20.33,47.14,39.56,13.9,0,5.6,46.2,5,2014,3,0,1,3.82
31.5,20.22,52.22,38.56,10.3,0,6.2,54.4,5,2014,3,0,1,2.1
30.94,22.11,60.84,39.78,13.9,0,6.2,45.8,5,2014,3,0,1,1.54
34.5,18.5,39.01,38.11,8.1,0,6.2,41.1,5,2014,3,0,1,5.1
28.17,22.56,71.75,36.56,10.3,0,6.2,38.6,5,2014,3,0,1,-1.23
34.5,19.78,43.15,39.78,12.8,0,6.2,35.8,5,2014,3,0,1,5.1
32.72,19.44,47.77,40.11,12.8,0,6,69.3,5,2014,3,0,1,3.32
35.33,16.44,32.65,38,9.2,0,6.2,28.7,5,2014,3,0,1,5.93
27.44,19.17,61.46,32.39,16.1,0,6.2,79.6,5,2014,3,0,0,-1.96
34.06,17.94,38.84,38.11,13.9,0,6.2,56.6,5,2014,3,0,1,4.66
31.78,20.44,52.11,38.56,9.2,0,6.2,72.5,5,2014,3,0,1,2.38
31.89,22.89,60.96,40.78,8.1,0,5.8,49.1,5,2014,3,0,1,2.49
29.22,20.44,59.43,36.56,12.8,0,4.6,77.1,5,2014,3,0,1,-0.18
26.94,22.11,75.56,36.56,8.1,0,6.2,80,5,2014,3,0,1,-2.46
33.39,19.44,44.29,37.67,8.1,0,6.2,45.8,5,2014,3,0,1,3.99
31.72,19.89,51.22,38.11,10.3,0,6.2,50,5,2014,3,0,1,2.32
34.44,17.56,36.81,37.44,4.7,0,6.2,43.6,5,2014,3,0,1,5.04
29.33,21.06,61.57,36.78,11.4,0,6.2,54.9,5,2014,3,0,1,-0.07
34.67,19.5,41.37,39.56,8.1,0,6.2,44.5,5,2014,3,0,1,5.27
32.61,19.94,48.82,40.78,11.4,0,6.2,50.4,5,2014,3,0,1,3.21
31.06,20.06,53.48,38.56,13.9,0,6.2,38.7,6,2014,3,0,1,3.9
34.39,18.72,40.19,38.61,11.3,0,6.2,43.6,6,2014,3,0,1,7.23
28.94,22.67,69.46,37.89,8.1,0,6.2,60,6,2014,3,0,1,1.78
34.11,20.61,45.8,41.06,11.3,0,6,53.8,6,2014,3,0,1,6.95
27.56,22,72.2,36.78,10.3,0,6.2,67.3,6,2014,3,0,1,0.4
29.83,21.33,60.63,35.78,3.4,0,5.6,69.9,6,2014,3,0,1,2.67
28.11,21.72,68.7,35.5,12.8,0,6.2,46.8,6,2014,3,0,1,0.95
32.33,21.39,52.57,38.28,9.2,0,6.2,61.6,6,2014,3,0,1,5.17
30.83,22.11,60.57,39.33,11.4,0,5.5,55.7,6,2014,3,0,1,3.67
28.94,22.67,70,39.28,11.4,0,5.4,51.6,6,2014,3,0,1,1.78
31.61,22.22,57.64,40.56,12.8,0,6.2,52.5,6,2014,3,0,1,4.45
26.33,22.17,78.11,33.61,12.8,0,6.2,54.9,6,2014,3,0,0,-0.83
31.33,22.22,58.87,39.33,13.9,0,6.2,53.7,6,2014,3,0,1,4.17
30.28,22.44,63.45,40.56,16.1,0,6.2,58.9,6,2014,3,0,1,3.12
32.17,23.06,58.8,40.56,12.8,0,6.2,74.4,6,2014,3,0,1,5.01
26.5,21.22,73.23,35.11,16.1,0,6.2,79.8,6,2014,3,0,1,-0.66
29.72,21.94,63.05,35.5,20.8,0,5.8,87.6,6,2014,3,0,1,2.56
28.33,21.22,66.04,35.78,21.9,0,6.2,89.4,6,2014,3,0,1,1.17
29.78,21.17,61.25,37.33,20.8,0.02,6.2,48.2,6,2014,3,0,1,2.62
31.78,19.83,49.41,37.33,18.3,0,6.2,46.8,6,2014,3,0,1,4.62
25.83,21.61,77.95,32.72,18.3,0,6.2,69.9,6,2014,3,0,0,-1.33
31.22,20.67,53.91,37.33,19.6,0,6.2,66,6,2014,3,0,1,4.06
30.06,20.83,58.68,37.33,19.6,0,6.1,64.9,6,2014,3,0,1,2.9
28.33,20.78,67.28,37.33,15,0.08,4.4,74.8,6,2014,3,0,1,1.17
27.67,19.89,64.14,34.94,18.3,0,6.2,73,6,2014,3,0,0,0.51
31.67,19.72,49.22,36.11,23,0,6.2,56.6,6,2014,3,0,1,4.51
29.5,21.06,61.41,37.06,19.6,0,6.2,63.2,6,2014,3,0,1,2.34
29.22,19.89,58.18,35.33,19.6,0,6.2,47.4,6,2014,3,0,1,2.06
31.5,17.28,42.7,35.78,17.2,0,6.2,56.6,6,2014,3,0,1,4.34
25.67,20.67,74.53,32,20.8,0,6.2,69.9,6,2014,3,0,0,-1.49
